12/6/2014	1.22	0	0	39	50
12/7/2014	0.04	0	0	30	42
12/8/2014	0	0	0	24	37
12/9/2014	2.54	0	0	36	42
12/10/2014	0.08	1	0	32	40
12/11/2014	0.01	0	1.2	31	38
12/12/2014	0	0	0	32	38
12/13/2014	0	0	0	34	44
12/14/2014	0	0	0	38	46
12/15/2014	0	0	0	37	48
12/16/2014	0.2	0	0	38	49
12/17/2014	0.02	0	0	42	54
12/18/2014	0	0	0	37	42
12/19/2014	0	0	0	31	38
12/20/2014	0	0	0	30	33
12/21/2014	0	0	0	31	36
12/22/2014	0.04	0	0	35	44
12/23/2014	0.16	0	0	43	46
12/24/2014	0.8	0	0	44	58
12/25/2014	0.09	0	0	44	62
12/26/2014	0	0	0	40	50
12/27/2014	0	0	0	44	55
12/28/2014	0.1	0	0	43	54
12/29/2014	0	0	0	34	44
12/30/2014	0	0	0	28	34
12/31/2014	0	0	0	27	32
1/1/2015	0	0	0	27	39
1/2/2015	0	0	0	35	42
1/3/2015	0.71	0	0	33	42
1/4/2015	0.3	0	0	41	56
1/5/2015	0	0	0	21	49
1/6/2015	0.05	1	0	19	22
1/7/2015	0	0	1.2	9	23
1/8/2015	0	0	0	8	21
1/9/2015	0.07	1.5	0	19	33
1/10/2015	0	0	1.2	16	23
1/11/2015	0	0	1.2	18	37
1/12/2015	0.36	0	0	35	39
1/13/2015	0	0	0	17	36
1/14/2015	0	0	0	16	32
1/15/2015	0	0	0	25	35
1/16/2015	0	0	0	20	43
1/17/2015	0	0	0	17	32
1/18/2015	2.1	0	0	31	42
1/19/2015	0	0	0	36	42
1/20/2015	0	0	0	32	40
1/21/2015	0	0	0	25	36
1/22/2015	0	0	0	31	40
1/23/2015	0	0	0	28	39
1/24/2015	0.72	3.6	3.1	33	39
1/25/2015	0	0	2	31	42
1/26/2015	0.48	5.5	2	22	31
1/27/2015	0.36	4.3	7.9	20	30
1/28/2015	0	0	7.9	16	34
1/29/2015	0.02	0	5.9	19	36
1/30/2015	0.06	1	7.1	19	38
1/31/2015	0	0	7.1	13	26
2/1/2015	0.03	0.3	5.9	20	36
